Edição;Carimbo de data/hora;ID;Gênero;Qual a sua escola / faculdade / instituto?;Qual o seu curso / programa de pós?;Em que ano você está?;Você já participou de quantos hackathons?;Quais as suas especialidades?;Você já tem equipe formada?;Time;Selecionado
2018.2;18/10/2018 20:07:31;55;F;Instituto de Ciências Matemáticas e de Computação (ICMC);Bacharelado em Ciência da Computação;2° ano;0;Desenvolvedor;Sim;7;1
2018.2;18/10/2018 20:07:43;56;M;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Sistemas de Informação;1° ano;1;Designer;Sim;17;1
2018.2;18/10/2018 20:08:09;57;M;Escola Politécnica (Poli);Engenharia de Produção;1° ano;0;Finanças;Sim;2;1
2018.2;18/10/2018 20:08:17;58;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;2° ano;0;Desenvolvedor;Não;0;1
2018.2;18/10/2018 20:08:19;59;M;Escola Politécnica (Poli);Engenharia Mecatrônica;2° ano;0;Cientista de Dados;Sim;16;1
2018.2;18/10/2018 20:08:56;60;F;Instituto de Ciências Matemáticas e de Computação (ICMC);Bacharelado em Ciência da Computação;3° ano;0;Cientista de Dados;Sim;7;1
2018.2;18/10/2018 20:08:56;61;M;Escola Politécnica (Poli);Engenharia Mecatrônica;2° ano;0;Cientista de Dados;Sim;16;1
2018.2;18/10/2018 20:09:05;62;F;Faculdade de Medicina Veterinária e Zootecnia (FMVZ);Medicina Veterinária;2° ano;0;Designer, Negócios;Sim;9;1
2018.2;18/10/2018 20:09:09;63;M;Instituto de Física (IF);Bacharelado em Física;4° ano;2;Finanças;Não;0;1
2018.2;18/10/2018 20:09:34;64;M;Instituto de Física (IF);Tecnologia  Nuclear;Mestrado;1;Desenvolvedor;Não;0;1
2018.2;18/10/2018 20:09:38;65;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1° ano;1;Desenvolvedor;Sim;3;1
2018.2;18/10/2018 20:10:53;66;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;3° ano;2;Cientista de Dados;Sim;5;1
2018.2;18/10/2018 20:11:18;67;M;Instituto de Ciências Matemáticas e de Computação (ICMC);Bacharelado em Ciência da Computação;4° ano;1;Desenvolvedor;Sim;18;1
2018.2;18/10/2018 20:12:04;68;M;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Sistemas de Informação;2° ano;0;Cientista de Dados;Não;19;1
2018.2;18/10/2018 20:12:57;69;M;Instituto de Ciências Matemáticas e de Computação (ICMC);Bacharelado em Ciência da Computação;3° ano;0;Desenvolvedor;Sim;20;1
2018.2;18/10/2018 20:13:22;70;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;Mestrado;0;Cientista de Dados, Finanças;Não;0;1
2018.2;18/10/2018 20:13:56;71;M;Instituto de Ciências Matemáticas e de Computação (ICMC);Bacharelado em Ciência da Computação;4° ano;0;Desenvolvedor;Sim;18;1
2018.2;18/10/2018 20:14:19;72;F;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Sistemas de Informação;1° ano;0;Negócios;Sim;21;1
2018.2;18/10/2018 20:15:15;73;M;Escola Politécnica (Poli);Engenharia da Computação;3° ano;2;Finanças;Não;0;1
2018.2;18/10/2018 20:17:27;74;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1° ano;0;Finanças;Sim;6;1
2018.2;18/10/2018 20:17:42;75;M;Escola Politécnica (Poli);Engenharia Mecatrônica;2° ano;2;Cientista de Dados;Sim;8;1
2018.2;18/10/2018 20:20:40;76;M;Escola Politécnica (Poli);Engenharia Civil;4° ano;0;Desenvolvedor, Negócios;Sim;19;1
2018.2;18/10/2018 20:21:16;77;F;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Marketing;2° ano;0;Cientista de Dados, Finanças;Não;0;1
2018.2;18/10/2018 20:29:05;78;M;Escola Politécnica (Poli);Engenharia Mecânica;2° ano;0;Negócios;Não;0;1
2018.2;18/10/2018 20:29:48;79;M;Escola Politécnica (Poli);Engenharia da Computação;4° ano;0;Desenvolvedor;Sim;11;1
2018.2;18/10/2018 20:32:43;80;M;Escola Politécnica (Poli);Engenharia da Computação;2° ano;1;Desenvolvedor;Sim;22;1
2018.2;18/10/2018 20:33:04;81;F;Escola Politécnica (Poli);Engenharia Elétrica;4° ano;2;Cientista de Dados;Sim;23;1
2018.2;18/10/2018 20:33:55;82;M;Escola Politécnica (Poli);Engenharia da Computação;2° ano;0;Cientista de Dados;Sim;22;1
