Datetime,id,IsSelected,Gender,College,StudentProgram,GraduationYear,NHackathon,Role,HasTeam,TeamMembers,TeamId,University,TeamSize
24/07/2016 21:04:55,135,S,M,IME,Bacharelado em Ciência da Computação,1,0,Desenvolvedor,Sim,"135, 498",11,,2
24/07/2016 21:04:56,281,N,M,Não USP,,,2,Desenvolvedor,Não,,0,UNICESUMAR,1
24/07/2016 21:04:57,536,S,M,IME,Bacharelado em Ciência da Computação,1,0,Desenvolvedor,Não,,0,,1
24/07/2016 21:05:14,84,S,F,EACH,Bacharelado em Sistemas de Informação,1,2,Desenvolvedor,Não,,0,,1
24/07/2016 21:05:16,396,N,M,Não USP,,,0,Empreendedor/Negócios,Não,,0,Universidade Anhembi Morumbi,1
24/07/2016 21:05:17,234,N,M,Não USP,,,5,Desenvolvedor,Não,,0,UNICAMP,1
24/07/2016 21:05:18,194,S,M,IME,Bacharelado em Ciência da Computação,2,1,Desenvolvedor,Não,,0,,1
24/07/2016 21:05:19,32,N,M,Não USP,,,0,Desenvolvedor,Não,,0,UNESP,1
24/07/2016 21:05:20,57,N,M,Não USP,,,0,Desenvolvedor,Não,,0,Universidade Nove de Julho,1
24/07/2016 21:05:25,303,S,M,IME,Bacharelado em Ciência da Computação,2,2,Desenvolvedor,Sim,"227, 303, 339, 402",31,,4
24/07/2016 21:05:26,243,N,M,FEA,Economia,1,0,Empreendedor/Negócios,Não,,0,,1
24/07/2016 21:05:28,246,N,M,Não USP,,,2,Desenvolvedor,Não,,0,UFF,1
24/07/2016 21:05:33,217,N,M,ICMC,Bacharelado em Ciência da Computação,1,0,Desenvolvedor,Não,,0,,1
24/07/2016 21:05:34,264,S,M,EEL,Engenharia Física,3,0,Desenvolvedor,Não,,0,,1
24/07/2016 21:05:38,99,N,F,Não USP,,,0,Desenvolvedor,Não,,0,UNICAMP,1
24/07/2016 21:05:39,453,S,F,ECA,Publicidade e Propaganda,5,0,Designer,Não,,0,,1
24/07/2016 21:05:42,26,S,M,EACH,Bacharelado em Sistemas de Informação,5,2,Desenvolvedor,Sim,"26, 48, 343, 422",37,,4
24/07/2016 21:05:46,52,S,F,FEA,Economia,2,0,Empreendedor/Negócios,Não,,0,,1
24/07/2016 21:05:47,272,N,M,EEL,Engenharia de Produção,2,0,Engenharia,Sim,"6, 272",58,,2
24/07/2016 21:05:56,408,S,M,IME,Bacharelado em Ciência da Computação,5,2,Empreendedor/Negócios,Não,,0,,1
24/07/2016 21:05:59,304,N,M,EACH,,3,0,Empreendedor/Negócios,Não,,0,,1
24/07/2016 21:06:01,301,S,M,Poli,Engenharia Elétrica,3,0,Empreendedor/Negócios,Sim,"130, 301",9,,2
24/07/2016 21:06:06,101,N,M,Não USP,,,0,Empreendedor/Negócios,Não,,0,FGV,1
24/07/2016 21:06:07,192,N,M,Poli,Engenharia Elétrica,1,0,Desenvolvedor,Não,,0,,1
24/07/2016 21:06:11,39,N,M,ICMC,Pós-graduação em Ciências de Computação e Matemática Computacional,Pós-graduação,1,Desenvolvedor,Não,,0,,1
24/07/2016 21:06:11,482,N,M,Poli,Engenharia Química,2,0,Designer,Não,,0,,1
24/07/2016 21:06:18,382,S,M,Poli,Engenharia Mecatrônica,1,0,Empreendedor/Negócios,Não,"307, 382",45,,2
