Datetime,id,IsSelected,Gender,College,StudentProgram,GraduationYear,NHackathon,Role,HasTeam,TeamMembers,TeamId,TeamSize
2017/07/19 9:04:40 PM GMT-3,76,S,M,IME,Bacharelado em Ciência da Computação,4,1,Desenvolvedor,Sim,"12, 27, 63, 76",4,4
2017/07/19 9:04:41 PM GMT-3,55,S,M,Poli,Engenharia Elétrica,2,1,Desenvolvedor,Sim,"1, 54, 55, 58",1,4
2017/07/19 9:04:48 PM GMT-3,47,S,M,IME,Bacharelado em Ciência da Computação,3,1,Desenvolvedor,Sim,"47, 74, 80, 85",18,4
2017/07/19 9:04:51 PM GMT-3,85,S,M,IME,Bacharelado em Ciência da Computação,3,1,Desenvolvedor,Sim,"47, 74, 80, 85",18,4
2017/07/19 9:05:06 PM GMT-3,32,S,M,Poli,Engenharia Elétrica,3,1,Desenvolvedor,Sim,"30, 32, 43, 106",12,4
2017/07/19 9:05:11 PM GMT-3,72,S,F,ICMC,Bacharelado em Sistemas de Informação,3,1,Desenvolvedor,Não,,0,1
2017/07/19 9:05:52 PM GMT-3,31,S,M,EACH,Bacharelado em Sistemas de Informação,2,1,Desenvolvedor,Sim,"31, 44, 78, 120",13,4
2017/07/19 9:06:04 PM GMT-3,62,N,M,Poli,Engenharia de Produção,4,1,Desenvolvedor,Não,,0,1
2017/07/19 9:06:06 PM GMT-3,35,S,M,Poli,Engenharia Elétrica,3,2,Desenvolvedor,Sim,"17, 35, 79, 81",9,4
2017/07/19 9:06:10 PM GMT-3,43,S,M,Poli,Engenharia de Computação,2,1,Desenvolvedor,Sim,"30, 32, 43, 106",12,4
2017/07/19 9:06:21 PM GMT-3,7,N,F,ECA,Relações Públicas,5,1,Nenhuma,Não,,0,1
2017/07/19 9:06:37 PM GMT-3,21,N,M,Poli,Engenharia Ambiental,5,1,Negócios,Sim,"21, 110",10,2
2017/07/19 9:07:38 PM GMT-3,104,S,M,IQ,Mestrado em Ciências,Pós-graduação,2,Negócios,Não,,0,1
2017/07/19 9:08:09 PM GMT-3,41,S,M,IME,Bacharelado em Ciência da Computação,2,1,Desenvolvedor,Sim,"41, 99, 100",16,3
2017/07/19 9:08:10 PM GMT-3,101,S,M,EACH,Mestrado em Sistemas de Informação,Pós-graduação,1,Negócios e Desenvolvedor,Sim,"10, 29, 65, 101",2,4
2017/07/19 9:09:29 PM GMT-3,78,S,M,EACH,Bacharelado em Sistemas de Informação,2,1,Desenvolvedor,Sim,"31, 44, 78, 120",13,4
2017/07/19 9:09:33 PM GMT-3,107,S,F,Poli,Engenharia de Computação,1,1,Desenvolvedor,Sim,"14, 86, 105, 107",6,4
2017/07/19 9:09:34 PM GMT-3,93,S,M,IME,Bacharelado em Ciência da Computação,2,1,Desenvolvedor,Não,,0,1
2017/07/19 9:10:39 PM GMT-3,103,N,M,IME,Bacharelado em Ciência da Computação,2,1,Desenvolvedor,Não,,0,1
2017/07/19 9:10:42 PM GMT-3,44,S,M,EACH,Bacharelado em Sistemas de Informação,2,1,Desenvolvedor,Sim,"31, 44, 78, 120",13,4
2017/07/19 9:10:54 PM GMT-3,38,S,M,IME,Bacharelado em Ciência da Computação,1,1,Desenvolvedor,Sim,"37, 38, 69, 121",15,4
2017/07/19 9:11:39 PM GMT-3,14,S,M,Poli,Engenharia Elétrica,1,1,Desenvolvedor,Sim,"14, 86, 105, 107",6,4
2017/07/19 9:11:45 PM GMT-3,79,S,M,Poli,Engenharia Elétrica,3,2,Desenvolvedor,Sim,"17, 35, 79, 81",9,4
2017/07/19 9:12:16 PM GMT-3,77,S,M,IME,Bacharelado em Ciência da computação,3,1,Desenvolvedor,Sim,"49, 77, 98",20,3
2017/07/19 9:12:19 PM GMT-3,70,S,M,IME,Bacharelado em Ciências da Computação,2,1,Desenvolvedor,Sim,"8, 23, 70, 116",22,4
2017/07/19 9:13:08 PM GMT-3,1,S,M,Poli,Engenharia Elétrica,2,1,Desenvolvedor,Sim,"1, 54, 55, 58",1,4
2017/07/19 9:14:21 PM GMT-3,37,S,M,IME,Bacharelado em Ciência da Computação,1,1,Desenvolvedor,Sim,"37, 38, 69, 121",15,4
2017/07/19 9:14:55 PM GMT-3,67,S,M,IME,Mestrado em Ciência da Computação,Pós-graduação,2,Desenvolvedor,Sim,"16, 45, 67",8,3
2017/07/19 9:14:59 PM GMT-3,91,N,M,IME,Bacharelado em Matemática,1,1,Desenvolvedor,Não,,0,1
2017/07/19 9:16:29 PM GMT-3,110,N,M,Poli,Engenharia Elétrica,5,1,Desenvolvedor,Sim,"21, 110",10,2
2017/07/19 9:18:00 PM GMT-3,4,S,F,FZEA,Engenharia de Biossistemas ,5,1,Negócios,Não,,0,1
2017/07/19 9:19:52 PM GMT-3,66,N,F,EACH,Bacharelado em Sistemas de Informação,1,1,Desenvolvedor,Não,,0,1
2017/07/19 9:20:23 PM GMT-3,63,S,M,IME,Bacharelado em Ciência da Computação,5,1,Desenvolvedor,Não,"12, 27, 63, 76",4,4
2017/07/19 9:20:33 PM GMT-3,3,N,M,IME,Bacharelado em Matemática,1,1,Nenhuma,Não,,0,1
2017/07/19 9:20:41 PM GMT-3,8,S,M,IME,Bacharelado em Ciência da Computação,2,1,Desenvolvedor,Sim,"8, 23, 70, 116",22,4
2017/07/19 9:21:07 PM GMT-3,42,N,M,EACH,Bacharelado em Sistemas de Informação,2,1,Negócios,Não,,0,1
2017/07/19 9:21:12 PM GMT-3,49,S,M,IME,Bacharelado em Ciência da Computação,3,1,Desenvolvedor,Sim,"49, 77, 98",20,3
2017/07/19 9:22:22 PM GMT-3,98,S,M,IME,Bacharelado em Ciência da Computação,3,1,Desenvolvedor,Sim,"49, 77, 98",20,3
2017/07/19 9:25:10 PM GMT-3,54,S,?,Poli,Engenharia Elétrica,2,1,Desenvolvedor,Sim,"1, 54, 55, 58",1,4
2017/07/19 9:25:19 PM GMT-3,18,S,M,IME,Bacharelado em Ciência da Computação,2,2,Desenvolvedor,Não,,0,1
2017/07/19 9:25:36 PM GMT-3,33,S,M,IME,Bacharelado em Ciência da Computação,1,1,Desenvolvedor,Não,"15, 33, 97",7,3
2017/07/19 9:26:05 PM GMT-3,10,S,M,EACH,Mestrado em Sistemas de Informação,Pós-graduação,0,Desenvolvedor,Sim,"10, 29, 65, 101",2,4
2017/07/19 9:26:11 PM GMT-3,97,S,M,IME,Bacharelado em Ciências da Computação,2,1,Desenvolvedor,Sim,"15, 33, 97",7,3
2017/07/19 9:26:43 PM GMT-3,29,S,M,EACH,Mestrado em Sistemas de Informação,Pós-graduação,1,Desenvolvedor,Sim,"10, 29, 65, 101",2,4
2017/07/19 9:26:47 PM GMT-3,20,S,F,IME,Bacharelado em Ciência da Computação,1,0,Desenvolvedor,Não,,0,1
2017/07/19 9:28:49 PM GMT-3,13,N,M,EACH,Mestrado em Sistemas de Informação,Pós-graduação,1,Desenvolvedor,Não,"13, 112",5,2
2017/07/19 9:29:18 PM GMT-3,45,S,M,IME,Mestrado em Ciência da Computação,Pós-graduação,1,Desenvolvedor,Sim,"16, 45, 67",8,3
2017/07/19 9:29:23 PM GMT-3,120,S,?,EACH,Licenciatura em Ciências da Natureza,2,1,Negócios,Sim,"31, 44, 78, 120",13,4
2017/07/19 9:30:14 PM GMT-3,36,N,M,FEA,Economia,3,0,Negócios,Não,,0,1
2017/07/19 9:30:38 PM GMT-3,23,S,M,IME,Bacharelado em Ciência da Computação,2,1,Desenvolvedor,Sim,"8, 23, 70, 116",22,4
2017/07/19 9:30:46 PM GMT-3,15,S,M,IME,Bacharelado em Ciência da Computação,1,0,Desenvolvedor,Sim,"15, 33, 97",7,3
2017/07/19 9:31:13 PM GMT-3,113,N,M,Poli,Engenharia Elétrica,2,0,Negócios,Não,,0,1
2017/07/19 9:31:25 PM GMT-3,40,N,M,IF,Bacharelado em Física,3,1,Desenvolvedor,Não,,0,1
2017/07/19 9:31:46 PM GMT-3,52,N,M,Não USP,Engenharia de Software,Pós-graduação,2,Desenvolvedor,Não,,0,1
2017/07/19 9:32:29 PM GMT-3,112,N,M,EACH,Bacharelado em Sistemas de Informação,2,0,Desenvolvedor,Sim,"13, 112",5,2
2017/07/19 9:32:34 PM GMT-3,26,S,F,IME,Bacharelado em Ciência da Computação,1,0,Negócios,Não,,0,1
2017/07/19 9:33:44 PM GMT-3,71,N,?,IME,Bacharelado em Ciência da Computação,3,1,Desenvolvedor,Não,,0,1
2017/07/19 9:33:55 PM GMT-3,27,S,M,IME,Bacharelado em Ciência da Computação,5,1,Desenvolvedor,Sim,"12, 27, 63, 76",4,4
2017/07/19 9:35:59 PM GMT-3,19,N,?,FCF,Farmácia e Bioquímica,4,0,Negócios,Não,,0,1
2017/07/19 9:37:17 PM GMT-3,65,S,M,EACH,Mestrado em Sistemas de Informação,Pós-graduação,0,Desenvolvedor,Sim,"10, 29, 65, 101",2,4
2017/07/19 9:38:49 PM GMT-3,16,S,M,IME,Mestrado em Ciência da Computação,Pós-graduação,1,Desenvolvedor,Sim,"16, 45, 67",8,3
2017/07/19 9:39:31 PM GMT-3,105,S,M,Poli,Engenharia Mecatrônica,1,0,Desenvolvedor,Sim,"14, 86, 105, 107",6,4
2017/07/19 9:43:59 PM GMT-3,118,N,M,Poli,Engenharia Mecânica,5,0,Negócios,Não,,0,1
2017/07/19 9:52:04 PM GMT-3,90,N,M,Poli,Mestrado em Engenharia Mecatrônica,Pós-graduação,0,Negócios,Não,,0,1
2017/07/19 9:53:36 PM GMT-3,75,N,M,EACH,Bacharelado em Sistemas de Informação,1,0,Desenvolvedor,Não,,0,1
2017/07/19 9:55:14 PM GMT-3,100,S,M,IME,Bacharelado em Ciência da Computação,2,0,Desenvolvedor,Sim,"41, 99, 100",16,3
2017/07/19 9:55:39 PM GMT-3,12,S,M,IME,Bacharelado em Ciências da Computação,5,1,Desenvolvedor,Sim,"12, 27, 63, 76",4,4
2017/07/19 9:57:37 PM GMT-3,57,N,M,EACH,Bacharelado em Sistemas de Informação,1,0,Negócios,Não,,0,1
2017/07/20 1:05:35 AM GMT-3,60,S,M,CCM,Curso de Ciências Moleculares,1,0,Nenhuma,Não,,0,1
2017/07/20 1:15:21 AM GMT-3,64,S,M,EEL,Engenharia Física,4,1,Negócios,Não,,0,1
2017/07/20 10:04:49 AM GMT-3,82,N,F,EACH,Bacharelado em Marketing,1,0,Negócios,Sim,"46, 82",17,2
2017/07/20 10:05:51 AM GMT-3,46,N,M,FAU,Design,4,1,Designer,Sim,"46, 82",17,2
2017/07/20 10:25:51 PM GMT-3,6,N,F,EACH,Bacharelado em Sistemas de Informação,4,0,Negócios,Sim,,0,1
2017/07/20 11:10:23 AM GMT-3,88,S,F,EACH,Licenciatura em Ciências da Natureza,3,0,Desenvolvedor,Sim,"5, 88",21,2
2017/07/20 11:42:15 AM GMT-3,73,N,M,Poli,Engenharia de Computação,2,0,Desenvolvedor,Não,"34, 73",14,2
2017/07/20 11:56:26 AM GMT-3,109,N,M,Poli,Engenharia Elétrica,3,2,Desenvolvedor,Sim,,0,1
2017/07/20 12:51:56 PM GMT-3,61,N,F,Poli,Engenharia Mecatrônica,2,0,Desenvolvedor,Sim,,0,1
2017/07/20 2:10:32 PM GMT-3,34,N,M,Poli,Engenharia de Computação,4,0,Desenvolvedor,Sim,"34, 73",14,2
2017/07/20 5:31:51 AM GMT-3,53,N,?,Poli,Engenharia de Computação,2,0,Desenvolvedor,Não,,0,1
2017/07/20 6:27:39 PM GMT-3,83,N,?,IF,Bacharelado em Física,3,0,Desenvolvedor,Sim,"83, 115",23,2
2017/07/20 6:27:51 PM GMT-3,115,N,M,IF,Bacharelado em Física,1,0,Desenvolvedor,Sim,"83, 115",23,2
2017/07/20 8:33:48 AM GMT-3,121,S,M,Poli,Engenharia de Computação,4,1,Desenvolvedor,Sim,"37, 38, 69, 121",15,4
2017/07/20 8:51:18 AM GMT-3,89,N,F,Não USP,Análise e Desenvolvimento de Sistemas,2,1,Desenvolvedor,Não,,0,1
2017/07/20 8:56:25 PM GMT-3,25,S,M,IME,Bacharelado em CIência da Computação,1,0,Nenhuma,Não,,0,1
2017/07/20 8:59:10 AM GMT-3,69,S,F,IME,Bacharelado em Ciência da Computação,1,0,Desenvolvedor,Sim,"37, 38, 69, 121",15,4
2017/07/20 9:05:34 PM GMT-3,96,S,M,IME,Bacharelado em Ciência da Computação,3,0,Desenvolvedor,Sim,"11, 96, 119",3,3
2017/07/20 9:08:10 PM GMT-3,119,S,M,IME,Bacharelado em Ciência da Computação,1,0,Desenvolvedor,Sim,"11, 96, 119",3,3
2017/07/20 9:08:15 PM GMT-3,11,S,M,IME,Bacharelado em Ciência da Computação,1,0,Desenvolvedor,Sim,"11, 96, 119",3,3
2017/07/20 9:11:30 PM GMT-3,59,N,M,CCM,Curso de Ciências Moleculares,3,0,Estudante,Sim,,0,1
2017/07/20 9:47:24 AM GMT-3,51,N,M,Poli,Engenharia Elétrica,5,0,Desenvolvedor,Não,,0,1
2017/07/20 9:54:37 AM GMT-3,2,N,M,EACH,Especialização,Pós-graduação,0,Desenvolvedor,Não,,0,1
2017/07/21 11:09:51 AM GMT-3,48,N,M,FEA,Bacharelado em Administração,4,0,Negócios,Sim,"48, 102",19,2
2017/07/21 11:23:10 AM GMT-3,102,N,F,Poli,Engenharia Naval,5,1,Desenvolvedor,Sim,"48, 102",19,2
2017/07/21 11:34:16 AM GMT-3,94,N,M,IF,Bacharelado em Física,4,0,Desenvolvedor,Não,,0,1
2017/07/21 5:32:56 PM GMT-3,114,S,M,IME,Bacharelado em Ciência da Computação,1,0,Desenvolvedor,Não,,0,1
2017/07/21 7:03:28 PM GMT-3,68,N,?,ICMC,Bacharelado em Ciências de Computação,3,0,Desenvolvedor,Não,,0,1
2017/07/21 7:32:51 PM GMT-3,122,N,M,FD,Direito,5,2,Desenvolvedor,Não,"22, 122",11,2
2017/07/22 11:14:21 AM GMT-3,39,N,F,FEA,Bacharelado em Administração,1,0,Negócios,Não,,0,1
2017/07/22 8:42:33 PM GMT-3,92,N,M,ECA,Mestrado em Ciência da Informação,Pós-graduação,2,Negócios,Não,,0,1
2017/07/22 9:31:34 AM GMT-3,24,S,M,IME,Bacharelado em Ciência da Computação,1,0,Desenvolvedor,Não,,0,1
2017/07/23 3:10:26 PM GMT-3,22,N,M,FD,Direito,4,0,Negócios,Sim,"22, 122",11,2
2017/07/23 9:46:29 PM GMT-3,84,N,M,EACH,Bacharelado em Sistemas de Informação,5,0,Desenvolvedor,Sim,,0,1
2017/07/24 4:46:17 AM GMT-3,87,N,?,EACH,Bacharelado em Sistemas de Informação,2,0,Negócios,Não,,0,1
2017/07/28 8:12:54 PM GMT-3,117,N,M,EACH,Bacharelado em Marketing,1,0,Negócios,Não,,0,1
2017/07/28 8:19:46 PM GMT-3,108,N,?,FEA,Bacharelado em Administração,Pós-graduação,0,Negócios,Não,,0,1
2017/08/01 1:58:57 PM GMT-3,116,S,M,IME,Bacharelado em Ciência da Computação,2,1,Desenvolvedor,Sim,"8, 23, 70, 116",22,4
2017/08/01 2:39:17 PM GMT-3,9,S,M,EESC,Engenharia Elétrica,5,0,Desenvolvedor,Não,,0,1
,5,S,M,EACH,Bacharelado em Sistemas de Informação,3,1,Desenvolvedor,Sim,"5, 88",21,2
