Datetime,id,IsSelected,Gender,College,StudentProgram,GraduationYear,NHackathon,Role,HasTeam,TeamMembers,TeamId,TeamSize
2017/07/19 10:01:15 PM GMT-3,28,N,M,FAU,Design,3,2,Designer,Não,,0,1
2017/07/19 10:08:53 PM GMT-3,50,N,?,Poli,Engenharia Elétrica,2,0,Desenvolvedor,Não,,0,1
2017/07/19 10:09:40 PM GMT-3,95,N,F,FCF,Farmácia e Bioquímica ,4,0,Negócios,Não,,0,1
2017/07/19 10:19:14 PM GMT-3,111,N,M,Não USP,Segurança da Informação ,1,0,Negócios,Não,,0,1
2017/07/19 10:27:47 PM GMT-3,86,S,M,Poli,Engenharia Elétrica,1,0,Desenvolvedor,Sim,"14, 86, 105, 107",6,4
2017/07/19 11:30:43 PM GMT-3,99,S,M,IME,Bacharelado em Ciência da Computação,3,0,Desenvolvedor,Sim,"41, 99, 100",16,3
2017/07/19 11:41:54 PM GMT-3,56,S,M,IME,Bacharelado em Ciência da Computação,1,0,Desenvolvedor,Não,,0,1
2017/07/19 9:03:16 PM GMT-3,17,S,M,Poli,Engenharia Elétrica,3,2,Desenvolvedor,Sim,"17, 35, 79, 81",9,4
2017/07/19 9:03:18 PM GMT-3,30,S,F,Poli,Engenharia Elétrica,3,1,Desenvolvedor,Sim,"30, 32, 43, 106",12,4
2017/07/19 9:03:50 PM GMT-3,106,S,M,CCM,Curso de Ciências Moleculares,3,2,Desenvolvedor,Sim,"30, 32, 43, 106",12,4
2017/07/19 9:04:15 PM GMT-3,81,S,M,Poli,Engenharia Elétrica,3,2,Desenvolvedor,Sim,"17, 35, 79, 81",9,4
2017/07/19 9:04:24 PM GMT-3,58,S,M,Poli,Engenharia Elétrica,2,1,Desenvolvedor,Sim,"1, 54, 55, 58",1,4
2017/07/19 9:04:33 PM GMT-3,80,S,M,IME,Bacharelado em Ciência da Computação,3,1,Desenvolvedor,Sim,"47, 74, 80, 85",18,4
2017/07/19 9:04:34 PM GMT-3,74,S,M,IME,Bacharelado em Ciência da Computação,3,1,Desenvolvedor,Sim,"47, 74, 80, 85",18,4
