Datetime,id,IsSelected,Gender,College,StudentProgram,GraduationYear,NHackathon,Role,HasTeam,TeamMembers,TeamId,University,TeamSize
18/10/2017 20:57:02,89,S,M,EACH,Bacharelado em Sistemas de Informação,1,0,Negócios,Sim,"34, 89, 106, 133",16,,4
18/10/2017 20:59:53,99,S,M,EACH,Bacharelado em Sistemas de Informação,3,2,Desenvolvedor,Sim,"99, 135",33,,2
18/10/2017 21:02:25,161,S,M,EACH,Pedagogia,3,5,Desenvolvedor,Sim,"10, 161",2,,2
18/10/2017 21:02:39,34,S,M,EACH,Bacharelado em Sistemas de Informação,1,0,Desenvolvedor,Sim,"34, 89, 106, 133",16,,4
18/10/2017 21:54:54,62,S,M,EACH,Bacharelado em Sistemas de Informação,2,2,Desenvolvedor,Sim,"62, 118, 123",27,,3
18/10/2017 21:59:08,133,S,M,EACH,Bacharelado em Sistemas de Informação,1,0,Desenvolvedor,Sim,"34, 89, 106, 133",16,,4
18/10/2017 22:23:36,5,S,F,EACH,Gestão Ambiental,1,0,Designer,Não,,0,,1
19/10/2017 18:57:27,24,N,M,EACH,Bacharelado em Sistemas de Informação,2,2,Desenvolvedor,Sim,"24, 48, 67, 164",12,,4
19/10/2017 19:04:32,164,N,M,EACH,Bacharelado em Sistemas de Informação,2,1,Desenvolvedor,Sim,"24, 48, 67, 164",12,,4
19/10/2017 19:42:35,67,N,M,EACH,Bacharelado em Sistemas de Informação,2,1,Desenvolvedor,Sim,"24, 48, 67, 164",12,,4
19/10/2017 21:37:07,48,N,M,EACH,Bacharelado em Sistemas de Informação,2,1,Negócios,Sim,"24, 48, 67, 164",12,,4
22/10/2017 14:24:29,21,N,M,EACH,Bacharelado em Sistemas de Informação,2,0,Desenvolvedor,Não,,0,,1
22/10/2017 19:56:18,26,N,M,EACH,Bacharelado em Sistemas de Informação,1,0,Desenvolvedor,Não,,0,,1
23/10/2017 21:48:48,106,S,M,EACH,Bacharelado em Sistemas de Informação,1,1,Desenvolvedor,Sim,"34, 89, 106, 133",16,,4
18/10/2017 21:45:12,10,S,M,EACH,Pós-graduação em Sistemas de Informação,Pós-graduação,1,Cientista de Dados,Não,"10, 161",2,,2
18/10/2017 20:58:35,37,S,M,EESC,Engenharia Elétrica,5,0,Desenvolvedor,Sim,"9, 37, 63, 90",32,,4
18/10/2017 20:59:33,90,S,M,EESC,Engenharia Elétrica,5,0,Desenvolvedor,Sim,"9, 37, 63, 90",32,,4
18/10/2017 20:59:40,9,S,M,EESC,Engenharia Elétrica,5,1,Desenvolvedor,Sim,"9, 37, 63, 90",32,,4
18/10/2017 21:00:25,63,S,M,EESC,Engenharia Elétrica,5,0,Desenvolvedor,Sim,"9, 37, 63, 90",32,,4
18/10/2017 21:04:01,93,S,F,EESC,Engenharia de Computação ,2,0,Desenvolvedor,Sim,"28, 93",13,,2
18/10/2017 21:03:51,28,S,F,EESC,Engenharia Civil,2,0,Negócios,Não,"28, 93",13,,2
09/11/2017 13:50:01,86,N,F,Poli,Engenharia Civil,5,0,Negócios,Não,,0,,1
18/10/2017 21:06:49,4,S,F,Poli,Engenharia Química,2,0,Negócios,Não,,0,,1
18/10/2017 21:10:17,84,S,F,Poli,Engenharia Mecânica,2,0,Nenhuma,Sim,"16, 84",7,,2
18/10/2017 23:35:09,101,N,M,Poli,MBA em IoT,Pós-graduação,2,Desenvolvedor,Sim,,0,,1
19/10/2017 00:04:02,100,N,M,Poli,Engenharia de Computação ,2,0,Desenvolvedor,Sim,"100, 116",3,,2
19/10/2017 08:19:27,104,N,M,Poli,Engenharia Mecatrônica,3,0,Negócios,Não,,0,,1
19/10/2017 09:44:40,52,N,M,Poli,Engenharia Elétrica,1,0,Nenhuma,Não,,0,,1
19/10/2017 18:26:48,40,S,M,Poli,Engenharia Elétrica,1,0,Desenvolvedor,Sim,"40, 162",17,,2
20/10/2017 14:26:15,78,S,M,Poli,Mestrado em Engenharia Elétrica,Pós-graduação,1,Negócios,Não,,0,,1
