Datetime,Edition,id,IsSelected,Gender,College,StudentProgram,GraduationYear,NHackathon,Role,HasTeam,TeamMembers,TeamId,TeamSize
2017/08/01 1:58:57 PM GMT-3,2017.1,116,S,M,IME,Bacharelado em Ciência da Computação,2,1,Desenvolvedor,Sim,"8, 23, 70, 116",22,4
2017/08/01 2:39:17 PM GMT-3,2017.1,9,S,M,EESC,Engenharia Elétrica,5,0,Desenvolvedor,Não,,0,1
,2017.1,5,S,M,EACH,Bacharelado em Sistemas de Informação,3,1,Desenvolvedor,Sim,"5, 88",21,2
18/10/2017 20:57:02,2017.2,89,S,M,EACH,Bacharelado em Sistemas de Informação,1,0,Negócios,Sim,"34, 89, 106, 133",16,4
18/10/2017 20:59:53,2017.2,99,S,M,EACH,Bacharelado em Sistemas de Informação,3,2,Desenvolvedor,Sim,"99, 135",33,2
18/10/2017 21:02:25,2017.2,161,S,M,EACH,Pedagogia,3,5,Desenvolvedor,Sim,"10, 161",2,2
18/10/2017 21:02:39,2017.2,34,S,M,EACH,Bacharelado em Sistemas de Informação,1,0,Desenvolvedor,Sim,"34, 89, 106, 133",16,4
18/10/2017 21:54:54,2017.2,62,S,M,EACH,Bacharelado em Sistemas de Informação,2,2,Desenvolvedor,Sim,"62, 118, 123",27,3
18/10/2017 21:59:08,2017.2,133,S,M,EACH,Bacharelado em Sistemas de Informação,1,0,Desenvolvedor,Sim,"34, 89, 106, 133",16,4
18/10/2017 22:23:36,2017.2,5,S,F,EACH,Gestão Ambiental,1,0,Designer,Não,,0,1
19/10/2017 18:57:27,2017.2,24,N,M,EACH,Bacharelado em Sistemas de Informação,2,2,Desenvolvedor,Sim,"24, 48, 67, 164",12,4
19/10/2017 19:04:32,2017.2,164,N,M,EACH,Bacharelado em Sistemas de Informação,2,1,Desenvolvedor,Sim,"24, 48, 67, 164",12,4
19/10/2017 19:42:35,2017.2,67,N,M,EACH,Bacharelado em Sistemas de Informação,2,1,Desenvolvedor,Sim,"24, 48, 67, 164",12,4
19/10/2017 21:37:07,2017.2,48,N,M,EACH,Bacharelado em Sistemas de Informação,2,1,Negócios,Sim,"24, 48, 67, 164",12,4
22/10/2017 14:24:29,2017.2,21,N,M,EACH,Bacharelado em Sistemas de Informação,2,0,Desenvolvedor,Não,,0,1
22/10/2017 19:56:18,2017.2,26,N,M,EACH,Bacharelado em Sistemas de Informação,1,0,Desenvolvedor,Não,,0,1
23/10/2017 21:48:48,2017.2,106,S,M,EACH,Bacharelado em Sistemas de Informação,1,1,Desenvolvedor,Sim,"34, 89, 106, 133",16,4
18/10/2017 21:45:12,2017.2,10,S,M,EACH,Pós-graduação em Sistemas de Informação,Pós-graduação,1,Cientista de Dados,Não,"10, 161",2,2
18/10/2017 20:58:35,2017.2,37,S,M,EESC,Engenharia Elétrica,5,0,Desenvolvedor,Sim,"9, 37, 63, 90",32,4
18/10/2017 20:59:33,2017.2,90,S,M,EESC,Engenharia Elétrica,5,0,Desenvolvedor,Sim,"9, 37, 63, 90",32,4
18/10/2017 20:59:40,2017.2,9,S,M,EESC,Engenharia Elétrica,5,1,Desenvolvedor,Sim,"9, 37, 63, 90",32,4
18/10/2017 21:00:25,2017.2,63,S,M,EESC,Engenharia Elétrica,5,0,Desenvolvedor,Sim,"9, 37, 63, 90",32,4
18/10/2017 21:04:01,2017.2,93,S,F,EESC,Engenharia de Computação ,2,0,Desenvolvedor,Sim,"28, 93",13,2
18/10/2017 21:03:51,2017.2,28,S,F,EESC,Engenharia Civil,2,0,Negócios,Não,"28, 93",13,2
09/11/2017 13:50:01,2017.2,86,N,F,Poli,Engenharia Civil,5,0,Negócios,Não,,0,1
18/10/2017 21:06:49,2017.2,4,S,F,Poli,Engenharia Química,2,0,Negócios,Não,,0,1
18/10/2017 21:10:17,2017.2,84,S,F,Poli,Engenharia Mecânica,2,0,Nenhuma,Sim,"16, 84",7,2
