Datetime,id,IsSelected,Gender,College,StudentProgram,GraduationYear,NHackathon,Role,HasTeam,TeamMembers,TeamId,TeamSize
16/05/2018 16:06:10,296,S,M,IME,Bacharelado em Ciência da Computação,3,2,Desenvolvedor,Sim,"45, 54, 281, 296",59,4
16/05/2018 18:47:09,290,S,M,ICMC,Bacharelado em Ciência da Computação,4,0,Cientista de Dados,Sim,"290, 208",33,2
16/05/2018 18:47:13,338,S,M,IME,Bacharelado em Ciência da Computação,4,2,Cientista de Dados,Sim,"60, 178, 248, 338",67,4
16/05/2018 18:48:34,208,S,F,ICMC,Bacharelado em Ciência da Computação,4,0,Desenvolvedor,Não,"208, 290",33,2
16/05/2018 18:48:51,252,S,M,Poli,Engenharia Elétrica,5,1,Cientista de Dados,Sim,"88, 179, 252, 262",75,4
16/05/2018 18:49:15,78,S,F,Poli,Engenharia Elétrica,4,1,Cientista de Dados,Sim,"25, 72, 78, 132",41,4
16/05/2018 18:51:37,198,N,M,IME,Bacharelado em Ciência da Computação,4,2,Desenvolvedor,Sim,"60, 178, 198, 338",67,4
16/05/2018 18:52:32,132,S,M,Poli,Engenharia da Computação,5,2,Cientista de Dados,Sim,"25, 72, 78, 132",41,4
16/05/2018 18:53:27,364,S,M,IME,Bacharelado em Ciência da Computação,1,1,Desenvolvedor,Sim,"106, 364, 311, 347",5,4
16/05/2018 18:53:30,248,S,M,IME,Bacharelado em Ciência da Computação,5,0,Desenvolvedor,Sim,"60, 178, 248, 338",67,4
16/05/2018 18:53:39,25,S,M,Poli,Engenharia Mecatrônica ,2,2,Negócios,Sim,"25, 72, 78, 132",41,4
16/05/2018 18:54:01,155,N,M,IF,Bacharelado em Física,2,0,Desenvolvedor,Sim,"155, 257, 314, 329",22,4
16/05/2018 18:55:12,74,S,F,Poli,Engenharia Elétrica,4,2,Designer,Sim,"30, 74, 82, 317",46,4
16/05/2018 18:55:32,283,S,M,Poli,Engenharia da Computação,3,1,Cientista de Dados,Sim,"41, 225, 283, 297",56,4
16/05/2018 18:55:59,82,S,M,Poli,Engenharia Elétrica,4,1,Desenvolvedor,Sim,"30, 74, 82, 317",46,4
16/05/2018 18:56:19,317,S,M,Poli,Curso de Ciências Moleculares,3,2,Cientista de Dados,Sim,"30, 74, 82, 317",46,4
16/05/2018 18:56:38,30,S,M,IF,Pós-graduação em Física,Pós-graduação,1,Cientista de Dados,Sim,"30, 74, 82, 317",46,4
16/05/2018 18:56:39,117,S,M,Poli,Engenharia Elétrica,2,0,Desenvolvedor,Sim,"117, 126, 176, 288",9,4
16/05/2018 18:56:41,41,S,F,Poli,Engenharia Elétrica,2,0,Desenvolvedor,Sim,"41, 225, 297",56,3
16/05/2018 18:58:14,88,S,M,Poli,Engenharia Elétrica,5,0,Designer,Sim,"88, 179, 252, 262",75,4
16/05/2018 18:58:44,297,S,M,Poli,Engenharia Elétrica,3,2,Desenvolvedor,Sim,"41, 225, 283, 297",56,4
16/05/2018 19:00:43,346,S,M,Poli,Engenharia Elétrica,3,0,Desenvolvedor,Não,,0,1
16/05/2018 19:00:53,225,S,M,Poli,Engenharia Elétrica,5,2,Desenvolvedor,Sim,"41, 225, 283, 297",56,4
16/05/2018 19:01:54,327,S,M,Poli,Pós-graduação em Engenharia da Computação,Pós-graduação,0,Desenvolvedor,Sim,"306, 327, 350",47,3
16/05/2018 19:01:56,9,S,F,FFLCH,Linguística,5,0,Desenvolvedor,Sim,"1, 9, 20, 221",1,4
16/05/2018 19:02:20,275,S,M,IME,Bacharelado em Ciência da Computação,3,1,Desenvolvedor,Sim,"214, 275, 304",35,3
16/05/2018 19:02:56,262,S,M,Poli,Engenharia Elétrica,5,0,Negócios,Sim,"88, 179, 252, 262",75,4
16/05/2018 19:02:57,89,N,M,Poli,Engenharia da Computação,3,1,Desenvolvedor,Sim,"89, 96 217",76,2
16/05/2018 19:03:20,12,S,F,EACH,Bacharelado em Sistemas de Informação,2,0,Desenvolvedor,Sim,"12, 75, 228, 245",12,4
16/05/2018 19:03:20,229,S,M,IME,Bacharelado em Ciência da Computação,1,1,Desenvolvedor,Não,,0,1
16/05/2018 19:03:28,4,S,F,EACH,Bacharelado em Sistemas de Informação,1,0,Negócios,Não,,0,1
16/05/2018 19:03:36,22,S,F,Poli,Engenharia Elétrica,5,0,Desenvolvedor,Sim,"22, 99, 318",36,3
16/05/2018 19:03:36,179,S,M,Poli,Engenharia Elétrica,5,1,Desenvolvedor,Sim,"88, 179, 252, 262",75,4
16/05/2018 19:03:48,51,S,M,IME,Bacharelado em Estatística,3,0,Cientista de Dados,Sim,"51, 149, 76",63,3
16/05/2018 19:03:49,61,S,M,EACH,Bacharelado em Sistemas de Informação,2,0,Desenvolvedor,Não,"61, 108, 331",68,3
16/05/2018 19:03:52,114,S,M,IME,Bacharelado em Matemática Aplicada e Computacional,4,1,Desenvolvedor,Sim,"114, 192, 310, 349",7,4
16/05/2018 19:03:58,222,S,M,ECA,Publicidade e Propaganda,1,0,Designer,Não,,0,1
16/05/2018 19:04:00,176,S,M,Poli,Engenharia Elétrica,2,0,Desenvolvedor,Sim,"117, 126, 176, 288",9,4
16/05/2018 19:05:00,76,S,M,IME,Bacharelado em Estatística,2,0,Cientista de Dados,Sim,"51, 149, 76",63,3
16/05/2018 19:05:10,357,S,M,IME,Bacharelado em Ciência da Computação,1,1,Desenvolvedor,Sim,"64, 131, 357, 358",70,4
16/05/2018 19:05:17,220,S,M,IME,Bacharelado em Ciência da Computação,1,2,Cientista de Dados,Não,,0,1
16/05/2018 19:05:18,258,N,M,EACH,Bacharelado em Sistemas de Informação,1,0,Desenvolvedor,Não,,0,1
16/05/2018 19:05:23,217,N,M,Poli,Engenharia da Computação,3,0,Cientista de Dados,Sim,"89, 96 217",76,2
16/05/2018 19:05:35,257,N,M,EACH,Bacharelado em Sistemas de Informação,2,1,Desenvolvedor,Sim,"155, 257, 314, 329",22,4
16/05/2018 19:05:43,270,S,M,FFLCH,Ciências Sociais,4,0,Cientista de Dados,Sim,"10, 270, 299, 323",2,4
16/05/2018 19:05:47,245,S,M,EACH,Bacharelado em Sistemas de Informação,2,0,Desenvolvedor,Sim,"12, 75, 228, 245",12,4
16/05/2018 19:06:25,244,N,M,IME,Bacharelado em Ciência da Computação,4,2,Desenvolvedor,Não,,0,1
16/05/2018 19:06:29,64,S,M,IME,Bacharelado em Ciência da Computação,1,0,Desenvolvedor,Sim,"64, 131, 357, 358",70,4
16/05/2018 19:06:33,149,S,M,IME,Bacharelado em Estatística,2,2,Cientista de Dados,Sim,"51, 149, 76",63,3
16/05/2018 19:06:58,161,S,M,IME,Curso de Ciências Moleculares,3,0,Cientista de Dados,Sim,"50, 109, 161, 334",62,4
16/05/2018 19:07:36,20,S,F,Poli,Engenharia Elétrica,2,1,Designer,Sim,"1, 9, 20, 221",1,4
16/05/2018 19:08:22,13,N,M,IME,Bacharelado em Ciência da Computação,3,2,Desenvolvedor,Não,,0,1
16/05/2018 19:08:27,152,N,M,EACH,Bacharelado em Sistemas de Informação,1,0,Desenvolvedor,Não,,0,1
16/05/2018 19:08:32,99,S,M,FEA,Ciências Econômicas,4,0,Negócios,Sim,"22, 99, 318",36,3
16/05/2018 19:08:36,126,S,M,Poli,Engenharia Elétrica,1,0,Desenvolvedor,Sim,"117, 126, 176, 288",9,4
16/05/2018 19:08:47,204,S,M,IME,Bacharelado em Ciência da Computação,2,1,Cientista de Dados,Sim,"3, 33, 191, 204",45,4
16/05/2018 19:09:38,310,S,M,IME,Bacharelado em Estatística,3,1,Cientista de Dados,Sim,"114, 192, 310, 349",7,4
16/05/2018 19:09:43,240,N,M,Poli,Engenharia Elétrica,2,1,Desenvolvedor,Sim,"23, 240, 307, 320",38,4
16/05/2018 19:10:57,28,N,M,IME,Bacharelado em Ciência da Computação,2,0,Desenvolvedor,Sim,"26, 28",43,2
16/05/2018 19:11:18,10,S,F,IME,Bacharelado em Estatística,5,0,Cientista de Dados,Sim,"10, 270, 299, 323",2,4
16/05/2018 19:11:34,304,S,M,IME,Bacharelado em Ciência da Computação,2,1,Desenvolvedor,Sim,"214, 275, 304",35,3
16/05/2018 19:11:36,214,S,M,IME,Bacharelado em Ciência da Computação,2,0,Desenvolvedor,Sim,"214, 275, 304",35,3
16/05/2018 19:12:54,75,S,M,EACH,Bacharelado em Sistemas de Informação,2,1,Negócios,Sim,"12, 75, 228, 245",12,4
16/05/2018 19:13:04,349,S,M,IME,Bacharelado em Matemática Aplicada e Computacional,4,0,Cientista de Dados,Sim,"114, 192, 310, 349",7,4
16/05/2018 19:13:16,33,S,F,IME,Bacharelado em Ciência da Computação,1,1,Desenvolvedor,Sim,"3, 33, 191, 204",45,4
16/05/2018 19:14:09,288,S,M,Poli,Engenharia Mecatrônica ,2,0,Cientista de Dados,Sim,"117, 126, 176, 288",9,4
16/05/2018 19:15:24,192,S,M,IME,Bacharelado em Matemática Aplicada e Computacional,4,0,Cientista de Dados,Sim,"114, 192, 310, 349",7,4
16/05/2018 19:16:57,251,N,M,Poli,Engenharia Mecatrônica ,1,0,Desenvolvedor,Sim,"158, 251",23,2
16/05/2018 19:17:37,249,S,M,IME,Bacharelado em Ciência da Computação,4,1,Desenvolvedor,Sim,"227, 249, 261, 312",37,4
16/05/2018 19:17:53,261,S,M,IME,Bacharelado em Ciência da Computação,4,1,Desenvolvedor,Sim,"227, 249, 261, 312",37,4
16/05/2018 19:18:16,216,N,M,Poli,Engenharia da Computação,3,1,Cientista de Dados,Não,"111, 216, 284",6,3
16/05/2018 19:18:29,23,N,M,Poli,Engenharia da Computação,2,1,Desenvolvedor,Sim,"23, 240, 307, 320",38,4
16/05/2018 19:18:30,320,N,F,Poli,Engenharia da Computação,2,1,Desenvolvedor,Sim,"23, 240, 307, 320",38,4
16/05/2018 19:19:27,227,S,M,IME,Bacharelado em Ciência da Computação,4,1,Desenvolvedor,Sim,"227, 249, 261, 312",37,4
16/05/2018 19:19:29,314,N,M,EACH,Bacharelado em Sistemas de Informação,3,0,Desenvolvedor,Sim,"155, 257, 314, 329",22,4
16/05/2018 19:20:12,46,S,F,IME,Bacharelado em Ciência da Computação,1,0,Desenvolvedor,Não,,0,1
16/05/2018 19:20:22,158,N,M,Poli,Engenharia Mecatrônica ,2,0,Desenvolvedor,Sim,"158, 251",23,2
